SENDERNODEID,RECIEVERIP,RECIEVERPORT,MESSAGE
1,127.0.0.1,1235,MM1 FROM P1
1,127.0.0.1,1236,MM1 FROM P1
1,127.0.0.1,1237,MM1 FROM P1
3,127.0.0.1,1234,MM1 FROM P3
3,127.0.0.1,1235,MM1 FROM P3
3,127.0.0.1,1237,MM1 FROM P3
4,127.0.0.1,1234,MM1 FROM P4
4,127.0.0.1,1235,MM1 FROM P4
4,127.0.0.1,1236,MM1 FROM P4
5,127.0.0.1,1239,MM1 FROM P5
5,127.0.0.1,1240,MM1 FROM P5
7,127.0.0.1,1238,MM1 FROM P7
7,127.0.0.1,1239,MM1 FROM P7
8,127.0.0.1,1239,MM1 FROM P5
8,127.0.0.1,1240,MM1 FROM P5
8,127.0.0.1,1242,MM1 FROM P7
8,127.0.0.1,1243,MM1 FROM P7
9,127.0.0.1,1239,MM1 FROM P5
9,127.0.0.1,1240,MM1 FROM P5
9,127.0.0.1,1241,MM1 FROM P7
9,127.0.0.1,1243,MM1 FROM P7
10,127.0.0.1,1239,MM1 FROM P5
10,127.0.0.1,1240,MM1 FROM P5
10,127.0.0.1,1241,MM1 FROM P7
10,127.0.0.1,1242,MM1 FROM P7
